ID,URL de origen,Texto visible,URL destino,Tipo,Visible desktop,Visible movil,Requiere JavaScript,HTTP final,Redirecciones,Title,H1,Canonical,Resultado,Evidencia
LINK-0030,/certificaciones/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0031,/certificaciones/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0032,/certificaciones/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0033,/certificaciones/,(texto en enlace),/legal/aviso-legal/,interno,SI,SI,NO,200 (local file),N/A,Aviso legal | Jonathan Esteban,Aviso legal,https://jonathanesteban.dev/legal/aviso-legal/,OK,Auditoria estatica de archivos HTML
LINK-0034,/certificaciones/,(texto en enlace),/legal/privacidad/,interno,SI,SI,NO,200 (local file),N/A,Redirigiendo a privacidad,,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0035,/certificaciones/,(texto en enlace),/legal/cookies/,interno,SI,SI,NO,200 (local file),N/A,Politica de cookies | Jonathan Esteban,Politica de cookies,https://jonathanesteban.dev/legal/cookies/,OK,Auditoria estatica de archivos HTML
LINK-0036,/certificaciones/,(texto en enlace),/privacy-policy/,interno,SI,SI,NO,200 (local file),N/A,Política de Privacidad | Jonathan Esteban,Política de Privacidad,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0037,/certificaciones/,(texto en enlace),/terms-of-service/,interno,SI,SI,NO,200 (local file),N/A,Términos y Condiciones de Servicio | Jonathan Esteban,Términos y Condiciones de Servicio,https://jonathanesteban.dev/terms-of-service/,OK,Auditoria estatica de archivos HTML
LINK-0038,/certificaciones/,(texto en enlace),/data-deletion/,interno,SI,SI,NO,200 (local file),N/A,Instrucciones y Eliminación de Datos | Jonathan Esteban,Instrucciones de Eliminación de Datos de Usuario,https://jonathanesteban.dev/data-deletion/,OK,Auditoria estatica de archivos HTML
LINK-0039,/certificaciones/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0040,/contacto/,(texto en enlace),#main-content,ancla,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0041,/contacto/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0042,/contacto/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0043,/contacto/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0044,/contacto/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0045,/contacto/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0046,/contacto/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0047,/contacto/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0048,/contacto/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0049,/contacto/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0050,/contacto/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0051,/contacto/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0052,/contacto/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0053,/contacto/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0054,/contacto/,(texto en enlace),https://wa.me/34614739345,externo,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0055,/contacto/,(texto en enlace),/legal/aviso-legal/,interno,SI,SI,NO,200 (local file),N/A,Aviso legal | Jonathan Esteban,Aviso legal,https://jonathanesteban.dev/legal/aviso-legal/,OK,Auditoria estatica de archivos HTML
LINK-0056,/contacto/,(texto en enlace),/legal/privacidad/,interno,SI,SI,NO,200 (local file),N/A,Redirigiendo a privacidad,,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0057,/contacto/,(texto en enlace),/legal/cookies/,interno,SI,SI,NO,200 (local file),N/A,Politica de cookies | Jonathan Esteban,Politica de cookies,https://jonathanesteban.dev/legal/cookies/,OK,Auditoria estatica de archivos HTML
LINK-0058,/contacto/,(texto en enlace),/privacy-policy/,interno,SI,SI,NO,200 (local file),N/A,Política de Privacidad | Jonathan Esteban,Política de Privacidad,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0059,/contacto/,(texto en enlace),/terms-of-service/,interno,SI,SI,NO,200 (local file),N/A,Términos y Condiciones de Servicio | Jonathan Esteban,Términos y Condiciones de Servicio,https://jonathanesteban.dev/terms-of-service/,OK,Auditoria estatica de archivos HTML
LINK-0060,/contacto/,(texto en enlace),/data-deletion/,interno,SI,SI,NO,200 (local file),N/A,Instrucciones y Eliminación de Datos | Jonathan Esteban,Instrucciones de Eliminación de Datos de Usuario,https://jonathanesteban.dev/data-deletion/,OK,Auditoria estatica de archivos HTML
LINK-0061,/contacto/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0062,/data-deletion/,(texto en enlace),#main-content,ancla,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0063,/data-deletion/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0064,/data-deletion/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0065,/data-deletion/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0066,/data-deletion/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0067,/data-deletion/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0068,/data-deletion/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0069,/data-deletion/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0070,/data-deletion/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0071,/data-deletion/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0072,/data-deletion/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0073,/data-deletion/,(texto en enlace),mailto:joonathanesteban@gmail.com,externo,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0074,/data-deletion/,(texto en enlace),/legal/aviso-legal/,interno,SI,SI,NO,200 (local file),N/A,Aviso legal | Jonathan Esteban,Aviso legal,https://jonathanesteban.dev/legal/aviso-legal/,OK,Auditoria estatica de archivos HTML
LINK-0075,/data-deletion/,(texto en enlace),/legal/privacidad/,interno,SI,SI,NO,200 (local file),N/A,Redirigiendo a privacidad,,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0076,/data-deletion/,(texto en enlace),/legal/cookies/,interno,SI,SI,NO,200 (local file),N/A,Politica de cookies | Jonathan Esteban,Politica de cookies,https://jonathanesteban.dev/legal/cookies/,OK,Auditoria estatica de archivos HTML
LINK-0077,/data-deletion/,(texto en enlace),/privacy-policy/,interno,SI,SI,NO,200 (local file),N/A,Política de Privacidad | Jonathan Esteban,Política de Privacidad,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0078,/data-deletion/,(texto en enlace),/terms-of-service/,interno,SI,SI,NO,200 (local file),N/A,Términos y Condiciones de Servicio | Jonathan Esteban,Términos y Condiciones de Servicio,https://jonathanesteban.dev/terms-of-service/,OK,Auditoria estatica de archivos HTML
LINK-0079,/data-deletion/,(texto en enlace),/data-deletion/,interno,SI,SI,NO,200 (local file),N/A,Instrucciones y Eliminación de Datos | Jonathan Esteban,Instrucciones de Eliminación de Datos de Usuario,https://jonathanesteban.dev/data-deletion/,OK,Auditoria estatica de archivos HTML
LINK-0080,/data-deletion/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0081,/faq/,(texto en enlace),#main-content,ancla,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0082,/faq/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0083,/faq/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0084,/faq/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0085,/faq/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0086,/faq/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0087,/faq/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0088,/faq/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0089,/faq/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0090,/faq/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0091,/faq/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0092,/faq/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0093,/faq/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0094,/faq/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0095,/faq/,(texto en enlace),/legal/aviso-legal/,interno,SI,SI,NO,200 (local file),N/A,Aviso legal | Jonathan Esteban,Aviso legal,https://jonathanesteban.dev/legal/aviso-legal/,OK,Auditoria estatica de archivos HTML
LINK-0096,/faq/,(texto en enlace),/legal/privacidad/,interno,SI,SI,NO,200 (local file),N/A,Redirigiendo a privacidad,,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0097,/faq/,(texto en enlace),/legal/cookies/,interno,SI,SI,NO,200 (local file),N/A,Politica de cookies | Jonathan Esteban,Politica de cookies,https://jonathanesteban.dev/legal/cookies/,OK,Auditoria estatica de archivos HTML
LINK-0098,/faq/,(texto en enlace),/privacy-policy/,interno,SI,SI,NO,200 (local file),N/A,Política de Privacidad | Jonathan Esteban,Política de Privacidad,https://jonathanesteban.dev/privacy-policy/,OK,Auditoria estatica de archivos HTML
LINK-0099,/faq/,(texto en enlace),/terms-of-service/,interno,SI,SI,NO,200 (local file),N/A,Términos y Condiciones de Servicio | Jonathan Esteban,Términos y Condiciones de Servicio,https://jonathanesteban.dev/terms-of-service/,OK,Auditoria estatica de archivos HTML
LINK-0100,/faq/,(texto en enlace),/data-deletion/,interno,SI,SI,NO,200 (local file),N/A,Instrucciones y Eliminación de Datos | Jonathan Esteban,Instrucciones de Eliminación de Datos de Usuario,https://jonathanesteban.dev/data-deletion/,OK,Auditoria estatica de archivos HTML
LINK-0101,/faq/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0102,/gracias/,(texto en enlace),#main-content,ancla,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0103,/gracias/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0104,/gracias/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0105,/gracias/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0106,/gracias/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0107,/gracias/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0108,/gracias/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0109,/gracias/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0110,/gracias/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
